IncidntNum,Category,Date
21,ARSON,01/01/2005 12:00:00 AM
696,BURGLARY,01/01/2005 12:00:00 AM
2027,LARCENY/THEFT,01/01/2005 12:00:00 AM
55,STOLEN PROPERTY,01/01/2005 12:00:00 AM
489,VANDALISM,01/01/2005 12:00:00 AM
1681,VEHICLE THEFT,01/01/2005 12:00:00 AM
17,ARSON,02/01/2005 12:00:00 AM
547,BURGLARY,02/01/2005 12:00:00 AM
1724,LARCENY/THEFT,02/01/2005 12:00:00 AM
40,STOLEN PROPERTY,02/01/2005 12:00:00 AM
462,VANDALISM,02/01/2005 12:00:00 AM
1362,VEHICLE THEFT,02/01/2005 12:00:00 AM
18,ARSON,03/01/2005 12:00:00 AM
653,BURGLARY,03/01/2005 12:00:00 AM
2022,LARCENY/THEFT,03/01/2005 12:00:00 AM
46,STOLEN PROPERTY,03/01/2005 12:00:00 AM
579,VANDALISM,03/01/2005 12:00:00 AM
1473,VEHICLE THEFT,03/01/2005 12:00:00 AM
24,ARSON,04/01/2005 12:00:00 AM
550,BURGLARY,04/01/2005 12:00:00 AM
1913,LARCENY/THEFT,04/01/2005 12:00:00 AM
41,STOLEN PROPERTY,04/01/2005 12:00:00 AM
577,VANDALISM,04/01/2005 12:00:00 AM
1586,VEHICLE THEFT,04/01/2005 12:00:00 AM
13,ARSON,05/01/2005 12:00:00 AM
619,BURGLARY,05/01/2005 12:00:00 AM
2177,LARCENY/THEFT,05/01/2005 12:00:00 AM
55,STOLEN PROPERTY,05/01/2005 12:00:00 AM
653,VANDALISM,05/01/2005 12:00:00 AM
1580,VEHICLE THEFT,05/01/2005 12:00:00 AM
23,ARSON,06/01/2005 12:00:00 AM
583,BURGLARY,06/01/2005 12:00:00 AM
2246,LARCENY/THEFT,06/01/2005 12:00:00 AM
39,STOLEN PROPERTY,06/01/2005 12:00:00 AM
617,VANDALISM,06/01/2005 12:00:00 AM
1385,VEHICLE THEFT,06/01/2005 12:00:00 AM
23,ARSON,07/01/2005 12:00:00 AM
691,BURGLARY,07/01/2005 12:00:00 AM
2300,LARCENY/THEFT,07/01/2005 12:00:00 AM
48,STOLEN PROPERTY,07/01/2005 12:00:00 AM
637,VANDALISM,07/01/2005 12:00:00 AM
1414,VEHICLE THEFT,07/01/2005 12:00:00 AM
20,ARSON,08/01/2005 12:00:00 AM
594,BURGLARY,08/01/2005 12:00:00 AM
2397,LARCENY/THEFT,08/01/2005 12:00:00 AM
42,STOLEN PROPERTY,08/01/2005 12:00:00 AM
